ID,Rubrik,Beskrivning,GE_KravID
389,S5 - Recording of power failure,"The measurement system should (S5) record all power outages (in 1-, 2- or 3-phases) in a measurement unit that is longer than 3 minutes.",S5
447,S63 - Upgrade from HES,Software in the meter (except metrological software) and communication device should be upgradeable from HES.,S63
453,S69 - Unique production number - communication module,"If the measuring device consists of a meter and a communication module, these shall be provided with a unique serial number.",S69
501,S117 - 50 simultaneous users,HES in the production environment should (S117) be dimensioned for at least 50 simultaneous users without impairing the performance of the measurement system.,S117
509,S125 - Create your own reports,It should be possible for the user to create reports and define the content of HES.,S125
601,S217 - Parallel Alerts S218 - Concurrent Alerts,HES should (S217) be designed to handle parallel requests.,S217
614,S230 - Encryption algorithms and cryptographic hash functions,The encryption algorithms and cryptographic hash functions used in the solution should be secure according to industry practice.,S230
616,S232 - UTC time with NTP sync,"The measurement system and surrounding infrastructure shall (S232) use UTC as source for time, including synchronization with NTP.",S232
631,S247 - Penetration testsFelix StollenwerkAbstractThis project is a part of the course MSGC17 – Bachelor thesis for degree of Bachelor of Science in Innovation and Design Engineering at Karlstad University. The task was to develop a product that would help people with disabilities to open plastic bags. The product should be able to open the plastic bags with one hand and should not be too heavy to use. The product should also be able to be used in different types of supermarkets.The project followed the design process which started with a research phase. The research phase included interviews and a study of existing products. The information from the research phase was used to develop a requirement specification. The requirement specification was used to develop a concept. The concept was evaluated and developed until a final concept was chosen. The final concept was developed further and a prototype was made. The prototype was evaluated and adjusted until the group was satisfied.The result was a foldable bag that opens with a push button in the front. The bag can be used as a handheld device or placed on the ground. The bag has a compartment for gloves and a compartment for the user to place their belongings. The user can also place the bag on their shoulder. The push button is covered by a finger flap. The push button is used to open the bag and the finger flap is used to protect the user from getting hurt by the button. The bag can be used for different types of supermarkets and has a design that makes it easy to use. The project resulted in a product that opens the plastic bags with one hand and that is easy to use.,"The client should (S247), with the help of an independent party, be able to conduct penetration tests, or equivalent audits, on the measurement system.",S247
759,B113 - Synchronization with GE controlled NTP,The measurement system and the surrounding infrastructure that is within GE's network should (B113) be synchronized with GE controlled NTP.,B113
