ID,Rubrik,Beskrivning,GE KravID
385,S1 - Lagkrav,"Vid tidpunkten för kontraktsskrivande gällande Lagar, Föreskrifter och standarder med avseende på funktion och säkerhet ska (S1) uppfyllas för Mätsystemets alla delar enligt nedanstående punkter 1–13.
1. Ellag SFS 1997:857.
2. Förordningen (SFS 1999:716) om mätning, beräkning och rapportering av överförd el.
3. EIFS 2016:2 – Energimarknadsinspektionens Föreskrifter och allmänna råd om mätning, beräkning och rapportering av överförd el.
4. STAFS 2016:1 – Swedacs Föreskrifter om mätinstrument.
5. STAFS 2016:4 – Swedacs Föreskrifter och allmänna råd om mätare för aktiv elenergi.
6. STAFS 2009:8 – Swedacs Föreskrifter och allmänna råd om mätsystem för mätning av överförd el.
7. STAFS 2009:9 – Swedacs Föreskrifter och allmänna råd om återkommande kontroll av mätare för aktiv elenergi.
8. EU:s MID direktiv 2014/32/EU.
9. Utökat typgodkännande och certifiering av Kategori 1 och 2 mätare enligt metod SPM 1618, test med 12kV stötspänning.
10. Standarder: SS-EN61869-1, SS-EN61869-2, SS-EN50470 och IEC 62056 (DLMS/COSEM suite).
11. EU Förordning 2016/679 av den 27 april 2016 om skydd för fysiska personer med avseende på behandling av personuppgifter och om det fria flödet av sådana uppgifter och om upphävande av direktiv 95/46/EG (allmän dataskyddsförordning).
12. EU-försäkran om överenstämmelse ska finnas för Mätsystemet om detta eller delar därav tillverkas i land utanför EU.
13. Lag (2003:389) om elektronisk kommunikation.",S1
386,S2 - Spårbara mätenheter,"Samtliga levererade Mätenheter, ned till komponentnivå, ska (S2) vara spårbara och kunna knytas minst till tillverkningsbatch och tidpunkt för tillverkning",S2
387,S3 - Spårbar Kommunikationsutrustningar,Samtliga levererade Kommunikationsutrustningar ska (S3) vara spårbara och kunna knytas minst till tillverkningsbatch och tidpunkt för tillverkning.,S3
388,S4 - Nytillverkat,Samtliga levererade moduler (Mätenheter och Kommunikationsutrustning) i Mätsystemet och dess ingående elektroniska komponenter ska (S4) vara nytillverkade och inte ha ett tillverkningsdatum som är äldre än 12 månader från installationsdatum med Beställaren.,S4
389,S5 - Registrering av strömavbrott,"Mätsystemet ska (S5) registrera alla strömavbrott (i 1-, 2- eller 3-faser) i en Mätenhet som är längre än 3 minuter.",S5
390,S6 - Last Gasp,"Mätsystemet ska (S6) ha ""Last Gasp"" funktionalitet.",S6
391,S7 - Strömavbrotts start och stopp,"Det ska (S7) vara möjligt att identifiera ett strömavbrotts ""start och stopp"" i Mätsystemet.",S7
392,S8 - Blockera brytare från HES,Mätarens brytare ska (S8) kunna blockeras från HES för att förhindra lokal tillkoppling av strömmen.,S8
393,S9 - Anrop från andra verksamhetssystem,HES ska (S9) kunna ta emot anrop för aktivering och deaktivering av Kundgränssnittet från annat verksamhetssystem inom GE,S9
394,S10 - Manuell avfrågning - max 10 sek,Svarstiden på en manuell avfrågning av Energivärden från HES till enskild Mätenhet ska (S10) vara max 10 sekunder.,S10
