ID,Rubrik,Beskrivning
1,S196 - Virtuella och fysiska servrar,Verifiera att dokumentationen beskriver hur det går att installera applikationen både i en fysisk och i en virtuell miljö.
2,S197 - Redundans i teorin,Verifiera att dokumentationen från Kamstrup beskriver hur och för vilka komponenter redundans appliceras. Verifiera att dokumentationen från Tieto beskriver hur och för vilka komponenter redundans appliceras i enlighet med Kamstrups beskrivning.
3,S197 - Redundans i praktiken,"För alla komponenter som har redundans verifiera att dokumentationen beskriver redundant lösning för samtliga ingående servers inom HES, inklusive SQL databaser. Begär ett ""Fail-over"" test från Tieto i flera steg som verifierar samtliga ""nivåer"" av redundans inom HES."
4,S198 - Servrar,Verifiera att dokumentation som leverantören presenterar inför installation stämmer överens med de servrar/operativ som Göteborg Energi/Tieto supporterar.
5,S199 - Köras som tjänst,Verifiera att information om tjänster och vilka servrar de finns på är beskrivet i systemdokumentationen. Hör med Tieto att de inte fått problem med Licenser eller annat praktiskt vid installationerna inför UAT.
6,S201 - Lista licenser och program - teori,Verifiera att leverantören i dokumentet Customer PlatformSpecifikation GBE PRD listat samtliga licenser som inkluderas i systemleveransen.
7,S202 - Beställarens licenser - förvaltning,Verifiera att samtliga licenser som Göteborg Energi står för finns listade i Snow och hanteras i applikationen.
8,S204 - Databashanterare med versionsnummer,Verifiera att plattformspecifikationen innehåller information om databashanterare och versionsnummer.
9,S244 - Återläsa data,FAT: Kamstrup visar rekommendationer. UAT: Med skarp data beställs återläsning i testmiljön på ett givet tidsintervall från Tieto. PROD: Med skarp data beställs återläsning i produktionsmiljö på ett givet tidsintervall från Tieto.
10,B105 - Databashotell,Verifiera att systemdokumentationen beskriver vilka databaser och databasversioner som används.
11,S202 - Beställarens licenser - teori,Verifiera att leverantören i dokumentet Customer PlatformSpecifikation GBE PRD listat samtliga licenser som Göteborg Energi ska stå för.
13,S193 - DLMS/ COSEM Suite 1,Granska dokumentation som beskriver hur DLMS/ COSEM Suite 1 är implementerat i lösningen.
14,S223 - Behörighet till subjekt,Verifiera att samtliga loggposter är knutet till ett subjekt. Verifiera att alla loggposter inte är kopplade till en person.
15,S224 - Dölja lösenord,Verifiera att lösenord inte lagras i klartext.
16,S226 - Krypterad inloggning,Verifiera att inloggningen sker krypterat I CM. Verifiera att inloggningen sker krypterat I Vision. Verifiera att inloggningen sker krypterat I Vision Audit. Verifiera att inloggningen sker krypterat I Omnia Flex.
17,S227 - Behörighetsstyrning för verktyg,"Verifiera att Omnia Flex använder behörighetsstyrning. Verifiera  KMS använder behörighetsstyrning. Verifiera  Meter Tool (mätehet) använder behörighetsstyrning. Verifiera  CM använder behörighetsstyrning. Verifiera  Samtliga Visionmoduler använder behörighetsstyrning. Verifiera att åtkomst till systemet sker via tvåfaktors autentisering - Ivanti Connect Secure och behörighetsstyrning i Active Directory. Verifiera om Configuration Tool som Avance använder för att anpassa systemet behörighetsmässigt kan användas på ett felaktigt sätt
(Från leverantörens svar på kravet: Programvaror som kan kringgå säkerhetsåtgärder t.ex. konfigurationsprogram kan enbart köras på Collection Managers applikationsservrar och skyddas genom begränsad inloggningsaccess till applikationsservrarna.)."
18,S229 - Kryptera kommunikation,Verifiera att det inte förekommer någon okrypterad kommunikation.
19,S230 - Krypteringsalgoritmer och kryptografiska hash-funktioner,"Verifiera genom granskning av dokumentation vilka lösningar som bygger på krypteringsteknik,."
20,S231 - Krypteringsnycklar,Verifiera att lösningsbeskrivning detaljerar hur krypteringsnycklar hanteras.
21,S234/S235/S236/S237 - Säkerhetslogg,Verifiera att all relevant information loggas i säkerhetslogg. Verifiera att all relevant information loggas i säkerhetslogg. Verifiera att all relevant information loggas i säkerhetslogg. Verifiera att all relevant information loggas i säkerhetslogg. Verifiera att all relevant information loggas i säkerhetslogg. Verifiera att all relevant information loggas i säkerhetslogg. Verifiera att all relevant information loggas i säkerhetslogg. Verifiera att all relevant information loggas i säkerhetslogg. Verifiera att all relevant information loggas i säkerhetslogg.
22,S235 - Innehåll i säkerhetslogg,Säkerhetsloggen innehåller all autentisering och försök till autentisering.
23,S236 - Logga datum och systemtid,Verifiera att alla poster i loggen innehåller datum och systemtid.
24,S238 - Skydd av mätare,Verifiera att mätaren är skyddad mot intrång. Verifiera att mätaren är skyddad mot manipulering. Verifiera att mätaren är skyddad mot exekvering av skadlig kod.
25,B107 - Versionshantering av webservice-gränssnitt,Verifiera att föregående version av webservice-gränssnitt går att läsa tillbaka och är kompatibelt med den nya versionen eller föregående version av ACM.
26,S232 & B113 - Synkronisering med GE kontrollerad NTP,Ställ in fel tid i mätare. Synka mätare med systemet. Kontrollera att server web01 har inställning för att synkronisera tid med tidsserver.
27,B76 - Storlek på händelselistan,
28,S144 - Händelselistan,
29,S171 & S172 - Till och frånkoppling och status av brytare från annat GE system,Verifiera att tillkoppling inte är möjligt genom integration från annat system. Verifiera att frånkoppling inte är möjligt genom integration från annat system. Verifiera att status på brytare är möjlig att se genom integration.
30,S179 - Testmiljö,
31,S203 - Visa version,
32,B108 - Skicka samma info igen,Ta emot samma info från fil. Ta emot samma info från mätare.
33,S228 - Styra tid för utloggning,Vänta 45 minuter.
34,B109 - Konfigurationsförändring för att ändra info som integreras,Lägg till den nya parametern i exporten.
35,S2 - Spårbara mätenheter,Kamstrup demonstrerar hur komponenter kan spåras till batch och tidpunkt för tillverkning.
36,S3 - Spårbar kommunikationsutrustione,Kamstrup demonstrerar hur Kommunikationsutrustningar är spårbara och kan knytas minst till tillverkningsbatch och tidpunkt för tillverkning.
37,S4 - Nytillverkat,Vi väljer att inte verifiera detta i detalj. Om problem uppstår där vi noterar att äldre komponenter används kommer det att hanteras som ett avtalsbrott.
38,S5/B2 - Registrering av strömavbrott - Kat1,Verifiera att strömavbrott längre än 3 minuter  registreras och lagras i mätare Kat1 1-fas. Verifiera att strömavbrott längre än 3 minuter  registreras och lagras i mätare Kat1 3-fas. Verifiera att strömavbrott längre än 10 sekunder  registreras och lagras i mätare Kat1 1-fas. Verifiera att strömavbrott längre än 10 sekunder  registreras och lagras i mätare Kat1 3-fas.
39,S5/B2 - Registrering av strömavbrott - Kat2,Verifiera att strömavbrott längre än 3 minuter  registreras och lagras i mätare Kat2. Verifiera att strömavbrott längre än 10 sekunder  registreras och lagras i mätare Kat2.
40,S5/B2 - Registrering av strömavbrott - Kat1 HES,Verifiera att strömavbrott längre än 3 minuter  registreras och lagras i HES för Kat1 1-fas. Verifiera att strömavbrott längre än 3 minuter  registreras och lagras i HES Kat1 3-fas. Verifiera att strömavbrott längre än 10 sekunder  registreras och lagras i HES Kat1 1-fas. Verifiera att strömavbrott längre än 10 sekunder  registreras och lagras i HES Kat1 3-fas.
41,S5/B2 - Registrering av strömavbrott - Kat2 HES,Verifiera att strömavbrott längre än 3 minuter  registreras och lagras i HES Kat2. Verifiera att strömavbrott längre än 10 sekunder  registreras och lagras i HES Kat2.
42,S22 - Mätenhetens strålningsnivå,RISE genomför mätningar.
43,S24 - Mätenhets funktion efter bortfall av faser på Kat1,Ta bort spänning på två av tre faser.
44,S24 - Mätenhets funktion efter bortfall av faser på Kat2,Ta bort spänning på två av tre faser.
45,S25 - Mätenhetens gränssnitt  Kat1 1-fas,Verifiera att det i mätarens display går att se spänning. Verifiera att det i mätarens display går att se ström. Verifiera att det i mätarens display går att se effekt. Verifiera att det i mätarens display går att se effektriktning.
46,S25 - Mätenhetens gränssnitt  Kat1 3-fas,Verifiera att det i mätarens display går att se spänning. Verifiera att det i mätarens display går att se ström. Verifiera att det i mätarens display går att se effekt. Verifiera att det i mätarens display går att se effektriktning / fas. Verifiera att det i mätarens display går att se fasernas ordningsföljd.
47,S25 - Mätenhetens gränssnitt  Kat2,Verifiera att det i mätarens display går att se spänning. Verifiera att det i mätarens display går att se ström. Verifiera att det i mätarens display går att se effekt. Verifiera att det i mätarens display går att se effektriktning / fas. Verifiera att det i mätarens display går att se fasernas ordningsföljd.
48,S26 - automatisk uppstart efter strömavbrott Kat1 - 1-fas,Verifiera att efter strömavbrott startar mätaren upp automatiskt. Använd Omnipower tool eller liknande för att kontrollera mätarens konfiguration.
49,S116 - Skalning av miljö,Mät prestanda under normal rapporteringsdrift. Öka CPU&RAM i kluster. Mät prestanda.
50,S117 & S217 - 50 samtidiga användare,Kör operationer med en inloggad användare. Exempelvis sökningar och exporter. Mät responstider i webbgränssnittet. Kör samma operationer med 50 samtidiga användare.  Mät responstider i webbgränssnittet.
51,S200 - Startas automatiskt,Starta om systemet (alla applikationsservrar).
52,S205 - Säkerhetskopiering under drift,Trigga säkerhetskopiering.
53,S207 - Fjärruppkoppling,Anslut till GEs nätverk genom VPN tjänst. Gå till HES URL.
54,S208 - HES från beställarens IT-arbetsplats,Anslut till HES från interna GE nätverket med GEs standard-klient.
55,S211 - Stödja marknadsledande webbläsare,Anslut till HES via Chrome. Anslut till HES via Edge.
56,S213 - Webserviceanrop,Kör export av data.
57,S214 - Utbyte av data via köhanterare,Lägg upp 3-5 exporter i kön.
58,S215 - Integrationer via filer,Lägg importfilen på importmappen.
59,S216 - Händelsedrivna integrationer,Händelsen inträffar.
60,S219 - Loggar för integrationer,Visa integrationsloggar i Vision Audit.
61,S220 - Återsända information,Trigga export från HES.
62,S233 - Tidavvikelse max 7s,Sätt tidsinställningen i en av mätarna att vara mer än 7 sek senare än övriga mätare. Trigga synk mot systemet.
63,S28 - Livslängd Kat1,En Mätenhet ska (S28) ha en förväntad livslängd som är 15 år räknat från tidpunkten då den levererats till GE.
64,S29 - inget behov av batteribyte,Mätaren innehåller inget batteri. Godkänns mot avtal.
66,S33 - Inmating och uttag - aktiv och reaktiv / 15 min (Mätartest),Verifiera med Kamstrups verktyg för lokal konfiguration med optiskt öga att värden för intag av aktiv och reaktiv energi lagras i mätaren. Verifiera med Kamstrups verktyg för lokal konfiguration med optiskt öga att värden för uttag av aktiv och reaktiv energi lagras i mätaren.
67,S33 - Inmating och uttag - aktiv och reaktiv / 15 min (HES),Verifiera från HES att värden för intag av aktiv och reaktiv energi lagras i mätaren. Verifiera från HES att värden för uttag av aktiv och reaktiv energi lagras i mätaren.
69,S36 - Konfigurera värden för händelser från HES,Verifiera att det går att byta profil i HES (tex från vanlig mätare till solcellsmätare).
70,S37 - Innehåll för händelse,I HES verifiera att varje händelse har ett händelse ID. I HES verifiera att det finns ett löpnummer för varje händelse. I HES verifiera att det finns en tidsstämpel  för varje händelse. I HES verifiera att det finns ett tillverkningsnummer för mätenheten på varje händelse.
71,S38 - Grid snapshot - Standardvärden,Provocera fram en överspänning på en av mätarens faser och verifiera att händelser skickas momentant till HES. Verifiera att korrekt register (OBIS-koder) tillsammans med händelsen. Verifiera att det i Optiskt öga går att se grid snapshot för händelsen felaktig effektriktning. Verifiera att det i Optiskt öga går att se grid snapshot för händelsen spänningshöjning.
73,S188 - Korrekt kommunikation,Granska lösningsdokumentation och verifiera att standard efterföljs.
74,S246 - Dokumentation av interna gränssnitt,Granska lösningsbeskrivningen.
75,S253 - Rutin för säkerhetsuppdateringar,Granska processer för säkerhetsuppdateringar.
76,S254 - Skydd i djupled,Granska OMNIA flex dokumentationen.
77,S257 - Ny nyckel/lösenord,Exporta nyckel för mätaren från KMS. Koppla upp mot mätaren med den exporterade nyckeln med MeterTool. Byt nyckel för mätaren i KMS. Exportera nycklar för mätaren igen från KMS. Koppla upp mot mätaren med MeterTool igen med de gamla kryptonycklarna. Importera nya nycklarna i MeterTool. Koppla upp mot mätaren med MeterTool igen med de nya kryptonycklarna.
78,S259 - Beroenden mot andra system,Stäng exempelvis av kopplingen mellan Collection Manager och OMNIA Flex.
79,B110 - Katalogtjänst för behörighetsstyrning,Logga in med ett aktivt AD konto. Byt behörighet på en användare genom ACM. Logga in med den användaren.
80,B111 - Sign on-inloggning,Gå till ACMs URL.
81,S539 och S540 - Ta fram testplan,Leverantören ansvarar för att vid projektstart ta fram en detaljerad testplan som granskas av Beställaren. Utifrån synpunkter som framkommer vid Beställarens granskning ska (S539) Leverantören komplettera testplanen.
82,S541 - Testplans innehåll,"Testplanen ska (S541) minst innehålla: 
-Beskrivning av testprocessen enligt innehåll i figur 1 i punkt 3.2, d.v.s. beskrivning av testplanering, förberedelser, genomförande och avslut av test. 
-En beskrivning som steg för steg ger instruktion för genomförande och underlag för utvärdering av testresultat. 
-Beskrivning, bedömning och beslut kring åtgärder av rapporterade fel samt deras allvarlighetsgrad."
83,S542 - Uppdatering av testplan,Leverantören ska (S542) kontinuerligt uppdatera testplanen med de överenskomna förändringar som sker.
84,S543 - Ta fram testfall,"Leverantören ska (S543) utarbeta testfall baserade på avtalade krav, d.v.s. avtalad Specifikation såvida ej annat avtalats."
85,S544 - Testfalls innehåll,Varje testfall ska (S544) innehålla en detaljerad instruktion för genomförande och underlag för utvärdering av testresultat för berörd funktion.
86,S545 - Testverktyg,Leverantören ska (S545) använda ett av Beställaren anvisat verktyg för att följa Beställarens rapportering av testresultat. Leverantören ansvarar för att i verktyget registrera sin återkoppling och status på Beställarens rapporterade fel och synpunkter. Beställaren använder idag ReQtest i felhanteringsprocessen.
87,S546 - Beställarens testfall,Beställaren ska(S546) ha rätt att utarbeta egna och nya testfall baserade på Specifikation. Nya testfall kan skapas fram till Slutgodkännande av Leveransprojektet.
88,S547 - Utförande av testfall,"Leverantörer ska (S547) ha möjlighet i de fall det bedöms lämpligt enligt överenskommelse med Beställaren, överlåta till Beställaren att utföra vissa testfall i punkt 3.2.5."
89,S548 - Testrapport,"Leverantören ska (S548) upprätta en testrapport för de testfaser som Leverantören ansvarar för under Leveransprojektet, enligt figur 1 i punkt 3.2."
90,S549 - Testrapports innehåll,"Testrapporten ska (S549) minst innehålla: 
-Testfall som körts -Resultat av testerna -Ev. kvarstående fel -Ev. kvarstående testfall -Förslag på åtgärder."
91,S550 - Godkännande av testrapport,Leverantören ska (S550) överlämna testrapporten till Beställaren för kontroll och godkännande.
92,S551 - Godkännande som startkriterie,Efterföljande test enligt figur 1 under punkt 3.2 ska (S551) ej påbörjas utan att testrapporten från föregående testfas är godkänd av Beställaren.
93,S552 - Krav på FAT,Leverantören ska (S552) före leverans av Mätsystemet genomföra en systemtest/FAT (FAT – Factory Acceptance Test) hos Leverantören.
94,S553 - Deltagande på FAT,Leverantören ska (S553) bereda Beställaren eller dennes representant(er) möjlighet att medverka som observatör vid genomförandet av FAT.
95,S554 - Redovisa förändringar efter FAT,"Modifieringar av Mätsystemet utförda mellan FAT och installation hos Beställaren ska (S554) redovisas av Leverantören,."
96,S555 - Omtest efter modifieringar,Leverantören ska även (S555) redovisa möjliga konsekvenser och påverkan på andra funktioner från gjorda modifieringar. Beställaren har rätt att kräva upprepning av de tester som gjorts i FAT om sådana modifieringar utförs.
97,S556 - Krav vid leverans och installation i testmiljön,"Leverantören ska (S556) vid leverans och installation av Mätsystemet i Beställarens testmiljö: 
-installera, -konfigurera/parametersätta, -eventuellt migrera strukturdata, -genomföra test med liknande omfattning som FAT samt inkluderat systemintegrationstest (SIT), samt -genomföra felrättningar och omtester."
98,S557 - Omfattning UAT,Beställarens UAT (User Acceptance Test) ska (S557) omfatta test och verifiering av samtliga krav enligt Specifikationen om inte annat överenskommes.
99,S558 - Utbildning inför UAT,Leverantören ska (S558) genomföra nödvändig utbildning samt överlämna relevant dokumentation enligt punkt 5 innan Beställarens UAT påbörjas.
100,S559 - Support under UAT,Leverantören ska (S559) närvara hos Beställaren och vara behjälplig då Beställaren genomför UAT.
