ID,Rubrik,Info & Förberedelser,Kravområde,Länkade krav,Beskrivning,Beskrivning.1,Beskrivning.2,Beskrivning.3,Beskrivning.4,Beskrivning.5,Beskrivning.6,Beskrivning.7,Beskrivning.8,Beskrivning.9,Beskrivning.10,Beskrivning.11,Beskrivning.12,Beskrivning.13,Beskrivning.14,Beskrivning.15,Beskrivning.16,Beskrivning.17,Beskrivning.18,Beskrivning.19,Beskrivning.20,Beskrivning.21,Beskrivning.22,Beskrivning.23,Beskrivning.24
1,Konvertering och Filformat hanterade i Diarie,"Intention: Verifiera att kravställda filformat hanteras av lösningen gällande bifoga, öppna, konvertera (i vissa fall) och arkivera samt att det sker mer viss automatik.

Förutsättningar: 

Beroenden: Alla roller ska kunna bifoga filer till ärenden de är handläggare för",Funktioner,5 - Filformatsstöd| 6 - Originalfiler| 17 - Automatisk filkonvertering| 18 - Filformat DWG & DXF,"Roll=handläggare.
I befintligt diarieärende skapas nytt ärendedokument, händelse, med riktning Ut. Dokumentstatus=""under arbete""","I aktuellt ärendedokument, lägg till filer av vanligt förekommande filformat:
- MS Word (modell större)
- MS Powerpoint
- MS Excel
- MS Outlook
- Adobe Acrobat PDF(utan arkivformat)
- .tif
- jpg
- Txt
- HTML","Öppna fil av typ MS Word och välj att redigera.
Redigera filen, spara samt checka in den. Öppna filen igen skrivskyddad",Gå in på versionshistoriken på aktuell fil,"Ändra status ""färdig från handläggare""","Roll=huvudregistrator.
Ändra status på ärendedokumentet till ""registrerat""","Prova att öppna samtliga filer, en i taget,",Skapa nytt ärendedokument i aktuell ärende och lägg till filer av typ .dwg samt .dxf,Roll=handläggare med tillgång till system i vilket man kan öppna filer av typ .dwg och .dxf. Välja att öppna filerna i detta system,,,,,,,,,,,,,,,,
2,Förlustfri konvertering av filer,"Intention: Att verifiera att filer med olika format, storlek och innehåll kan konverteras till bevarandeformat (PDF-A) utan att information förvanskas eller förloras.

Förutsättningar: Täck in förutom de olika filformaten även storlek på fil, antal sidor, dokumentformat (A4, Letter, Portrait/Lansdcape...), olika typer av innehåll (bilder i olika storlek och upplösning, tabeller, sidfot/sidhuvud, pagenering, ....)

Beroenden: Endast godkända filformat med Excel undantaget",Systemkrav,9 - Konvertering för långtidslagring| 10 - Förlustfri konvertering,"Roll=huvudregistrator
Skapa ett nytt diarieärende och ärendedokument i detta. Ärendedokumentet skall ha följande metadata: Riktning=IN
Dokumentkategori = Handling -In","Bifoga filer av olika storlekar innehållande både text och bilder i svartvitt samt färg. Filerna skall vara av följande format:
- Word
- Powerpoint
- Outlook mail (msg)",Bifoga fil av format PDF i större storlek.,"Efter att filerna konverterats, klicka på köttbullarna till höger om filen samt välj visa egenskaper. Kontrollera även PDF-fil som ej konverteras men som skall få Arkivformat",,,,,,,,,,,,,,,,,,,,,
3,"Tidsatta notifieringar, Bevakning och sista svarsdatum","Intention: Verifiera att funktion för bevakning och sista svarsdatum finns och fungerar

Förutsättningar: Notifiering eller annan metod som ska användas för att signalera att datum infallit måste vara uppsatt. Det kan vara flera metoder men här verifieras endast att det går att sätta bevakning och att något händer när det infaller. Registrerat ärende och dokumentkort (händelse)

Beroenden:",Funktioner,13 - Bevakningsdatum| 14 - Sista svarsdatum| 31 - Tidssatta notifieringar| 32 - Notifieringar vid inaktivitet,Välj ett befintligt skapat ärende,"Lägg till bevakning via knappen ""Bevakningsdatum""",Fyll i titel,"Sätt bevakningsdatum, förslagsvis nästa dag",Sätt ansvarig. Är man inloggad som handläggare är detta fält förifyllt med handläggarens namn,Låt fältet Status vara kvar på Öppet och tryck därefter OK,Ladda om sidan och Kontrollera att bevakning finns i grundmenyn (med en symbol som en klocka). Notera att sida behöver uppdateras för att datum ska uppdateras i UI,Kontrollera om systemet skickar notifiering nästa dag,Välj samma ärende därefter ett redan skapat dokumentkort (händelse),Välj dokumentfunktioner därefter Redigera egenskaper,"Fyll i fältet Sista svarsdatum, förslagsvis nästa dag och tryck därefter OK",Kontrollera om systemet skickar notifiering för sista svarsdatum nästa dag,Verifiera notifieringar vid inaktivitet. Det ska vara möjligt att ställa in datum för inaktivitet,Verifiera att det finns funktion för att ändra och uppdatera tidsatta notifieringar.,,,,,,,,,,,
4,Flytt av Diariehändelser,"Intention: Att verifiera att det går att flytta händelser mellan ärenden. Både mellan ärenden inom samma organisation samt mellan organisationer.

Förutsättningar: Roll för användare och access för roll till olika organisationer och ärenden. Ärenden och händelser är skapade. Roll=huvudregistrator

Beroenden:",Affärsprocesser,15 - Flytt av diariehändelser| 16 - Rättigheter att flytta händelser,"Roll=huvudregistrator. På startsidan klicka på ""Meny"" längst upp till höger","I rutan ""Övervakning"" välj ""Flytta/kopiera dokument mellan ärenden","Test mellan ärenden inom samma organisation. I fältet ""Från ärende"" anges det ärende från vilket man skall flytta dokument. Klicka på bocken eller tryck enter","I fältet ""Till ärende"" anges det ärende till vilket man skall flytta dokument. Klicka på bocken eller tryck enter","Bocka i framför det/dom dokument som skall flyttas(vänstra rutan) och klicka på knappen ""Flytta"" som finns mellan rutorna och tryck OK på följdfråga",Öppna dom aktuella ärendena och kontrollera flytten av dokument,"På startsidan klicka på ""Meny"" längst upp till höger","I rutan ""Övervakning"" välj ""Flytta/kopiera dokument mellan ärenden","Test mellan ärenden inom olika organisationer. I fältet ""Från ärende"" anges det ärende från vilket man skall flytta dokument. Klicka på bocken eller tryck enter","I fältet ""Till ärende"" anges det ärende till vilket man skall flytta dokument. Klicka på bocken eller tryck enter","Bocka i framför det/dom dokument som skall flyttas(vänstra rutan) och klicka på knappen ""Flytta"" som finns mellan rutorna och tryck OK på följdfråga",Öppna dom aktuella ärendena och kontrollera flytten av dokument,"Roll=handläggare. På startsidan klicka på ""Meny"" längst upp till höger","Kontrollera i rutan ""Övervakning"" att funktionen  ""Flytta/kopiera dokument mellan ärenden"" inte finns valbar",,,,,,,,,,,
5,Växla roll,"Intention: Verifiera att funktionen för att växla roll finns och fungerar

Förutsättningar: Inloggad användare ska ha fler än en roll kopplad. Roll=huvudregistrator

Beroenden:",Funktioner,22 - Multipla roller per användare,"Lägg märke till utseendet på skrivbordet. På startsidan näst lägst upp till höger, klicka på knappen med en figur och ditt namn och anteckna vilken roll som visas (Handläggare eller Huvudregistrator) och välj ""Byt profil""",Klicka på den roll som inte är markerad med ett blått streck framför. (Blått streck=aktuell roll),Klicka igen på knappen med en figur och ditt namn för att kontrollera att Roll är bytt,,,,,,,,,,,,,,,,,,,,,,
6,Obligatoriska fält,"Intention: Verifiera att obligatoriska fält tvingar användare att fylla i samt hindrar från att spara/gå vidare i process. Även att administrera vilka fält som är obligatoriska och att det går att ändra utan att det påverkar befintliga ärenden och händelser tills dess att de redigeras och ska sparas om.

Förutsättningar: Ett registrerat ärende

Beroenden:",Funktioner,55 - Oblligatoriska fält markerade| 56 - Obligatoriska fält hindrande| 177 - Fält ska kunna vara tvingande| 178 - Tvingande fält,"I befintligt ärende tryck skapa nytt dokument, sedan Dokument därefter Ärendedokument","Granska att fälten Riktning, Dokumentkategori, Konfidentialitetsnivå, Sekretess/Särskilda personuppgifter, Åtkomstgrupp, Titel, Ankomstdatum och Ansvarig har en asterisk framför fälten att fylla i",Välj Riktning IN,Fyll i samtliga fält försedda med en asterisk förutom Ankomstdatum,Tryck på Slutför,Fyll i ankomstdatum,Ta bort Avsändare genom att markera Avsändare och tryck Backspace,Tryck på Slutför,Fyll i samtliga fält försedda med en asterisk och tryck på Slutför,Lägg till Word-dokument till det skapade ärendedokumentet,,,,,,,,,,,,,,,
7,Fältutformning för klassning,"Intention: Verifiera att funktion kring Konfidentialitetsklassning och Sekretessmarkering fungerar. Att klassning och markering får rätt effekt samt att processen och GUI är utformad rätt.

Förutsättningar: 

Beroenden:",Lagkrav,114 - Fältutforming för klassning| 115 - Paragrafnotering,"Roll=huvudregistrator.
Öppna Meny->Skapa diarieärende",I Fältet Konfidentialitetsnivå skall det finnas dropdown-meny eller liknande för val av Konfidentialitetsnivå. Klicka på denna,I Fältet Konfidentialitetsnivå välj -Öppen,I fältet Sekretessklass skall det finnas dropdown-meny eller liknande för val av sekretess eller ej. Klicka på denna,"I fältet Sekretessklass, välj Nej","I fältet Sekretessklass, välj - Allmän handling - sekretess","I fältet Sekretessklass, välj - Allmän handling - särskilda personuppgifter","I fältet Sekretessklass, välj - Allmän handling - sekretess/särskilda personuppgifter",I samtliga fall när något val av sekretess görs i fältet Sekretessklass tillkommer fältet Val för offentlig titel.,Ange någon form av sekretess och i det tillkommande fältet Val för offentlig titel väljer man - Skriv in offentlig titel manuellt,"I fältet Sekretessklass, välj - Nej","Skapa diarieärende med följande:
Sekretessklass=Allmän handling sekretess
Paragraf=19.1
Konfidentialitetsnivå=Begränsad",Välj att skapa nytt ärendedokument,"I fältet Sekretessklass, välj - Allmän handling - sekretess/särskilda personuppgifter",I samtliga fall när något val av sekretess görs i fältet Sekretessklass tillkommer fältet Val för offentlig titel.,Ange någon form av sekretess och i det tillkommande fältet Val för offentlig titel väljer man - Skriv in offentlig titel manuellt,I Fältet Konfidentialitetsnivå skall det finnas dropdown-meny eller liknande för val av Konfidentialitetsnivå. Klicka på denna,,,,,,,,
8,Sökning,"Intention: Verifiera sökfunktion med fokus på vilka data som går att söka på, att kombinerade söktermer med flera ord och även sammanhållande strängar av ord.

Förutsättningar: Användare med olika roller, olika användare med olika behörighet, testdata med flertalet olika ärenden och händelser samt filer med olika format och innehåll. Ett registrerat ärende, dokument (händelse) samt fil med namn 'Drabantgatan'' ' Remiss'. Dokumentkortet (händelsen) samt fil är belagd med sekretess

Beroenden:",Funktioner,135 - Söktermer bestående av flera ord| 136 - Sökbar metadata| 137 - Riktad sök| 140 - Sökning över samtliga status| 152 - Sökresultat tar hänsyn till behörighet| 156 - Spara sökparametrar| 157 - Sökning i avslutade diarier| 158 - Sök på aktivitetsdatum,Verifiera att det finns en inbyggd funktion för supersök,Sök på remiss i supersök flera gånger,"Sök på ett befintligt ärende genom supersök. Sök orden Drabantgatan Remiss.
Observera att filer kommer inte med om inte checkbox ""Inkludera filer"" är markerad. Marker och sök igen om den inte redan var markerad första gången. Chackbox syns först efter sökresultat presenterats första gången men är ""sticky"" om den använts tidigare.","Välj avancerad sökning och kontrollera att det i rullmenyn finns följande sökvägar: ärende, dokument, kontakt, fastighet, aktivitet och fil",Tryck på Dokument i rullemenyn,Sök i fältet Dokumenttitel på ordet 'Remiss',Välj Avancerad sökning sedan Ärende i rullmenyn.,Verifiera i detta steg att samtliga fält som visas i Avancerad sökning går att fylla i och är sökbar,Fyll i fältet Ärendetitel och sök på ordet remiss,"Välj hantering och därefter Spara sökkriterier, fyll därefter i Favoritgrupp, namn och arbetslista, tryck därefter på OK",Välj Sparade sökningar och kontrollera att den nyskapade arbetslistan med sparade sökkriterier lagts in,"Gå tillbaka till sök, likt steg 7. Tryck på kryssrutan och bock i för att Visa fler sökfält",Fyll i fältet Diarieenhet 30 Partille Energi AB och tryck på Sök,"Gå tillbaka till sök, likt steg 7. Välj lägg till sökfält (längst ned)",Scrolla till senaste aktivitetsdatum och välj,"Låt fältet: Är samma stå. Välj i nästa fält: Igår, därefter tryck på + symbolen för att lägga till fältet",Välj sök,"Välj sök (steg 7). Kontrollera sökfältet 'Status' och verifiera att följande status finns: 'Avslutat av handläggare, Behandlas, Avslutat och Makulerat'",Logga in som Roll 'Handläggare',Sök i supersök på orden Drabantgatan Remiss,Tryck på Dokumentkortet i sökresultatet (händelse).,Välj pilen < längst upp 'Tillbaka till sökresultat',Tryck på Ärendet i sökresultatet (Diarieärendet),Välj pilen < längst upp 'Tillbaka till sökresultat',Tryck på Fil
9,Skicka e-post från diarie,"Intention: Verifiera att det inifrån Diarie går att initiera och skicka e-post med innehåll bifogat samt att det diarieförs.

Förutsättningar: Integration mot e-postserver, testklient har e-postklient, inloggad användare har en e-postadress och att det finns e-postadresser att skicka till

Beroenden:",Funktioner,146 - Skicka fil som bilaga| 269 - Hyperlänkad diariepost i mail| 270 - Utgående mail från Diarie| 271 - Bifoga bilagor,"Roll=valfri
Öppna ett befintligt ärendedokument innehållandes bilaga. Välj Dokumentfunktioner och Kopiera hyperlänk",Välj Dokumentfunktioner och Skicka bilaga som e-post,"Ange mottagare, klistra in tidigare kopierad hyperlänk och skicka meddelandet",Klicka på hyperlänken i e-postmeddelandet,Diarieför valfritt e-postmeddelande i Outlook i ett ärendedokument. Kontrollera sedan att det finns en länk i det diarieförda mailet som leder direkt till ärendedokumentet i P360 (högerklicka->Visa i 360),"Roll=handläggare
Öppna ett inkommande ärendedokument och klicka på kanppen ""Besvara""->Med e-post","Fyll i mottagare, ämne, innehåll samt bifoga fil. Klicka sedan på Skicka",Fyll i registreringsformuläret med obligatoriska uppgifter samt Slutför,,,,,,,,,,,,,,,,,
10,Länkar in till Diarie,"Intention: Verifiera att URL:er till olika diarieobjekt så som registerposter och filer är statiska över tid och uppdateringar i poster. 

Förutsättningar: Det finns ärenden och händelser med filer med olika nivå av behörigheter

Beroenden:",Funktioner,83 - Permanenta hyperlänkar för delning,"Öppna aktuellt ärende. Klicka på knappen ""Ärendefunktioner"" och välj ""Kopiera hyperlänk"" och klicka på ""Kopiera""",Klicka på den kopierade länken till ärendet,"Öppna ärendedokumentet i aktuellt ärende. Klicka på knappen ""Dokumentfunktioner"" och välj ""Kopiera hyperlänk"" och klicka på ""Kopiera""",Klicka på den kopierade länken till ärendedokumentet,"Bocka i framför aktuell fil, klicka på ""Filhantering"", välj ""Skicka till"" och ""Kopiera hyperlänk"" och ""Kopiera""",Klicka på den kopierade länken till filen,"Klicka på Redigera på ärendet. Gör valfria uppdateringar i  formulär sam klicka på slutför. 
Klicka på den kopierade länken till ärendet","Roll=huvudregistrator.
Flytta aktuellt ärendedokument till nytt ärende genom funktionen Meny->Övervakning->Flytta/kopiera dokument mellan ärenden
Klicka på den kopierade länken till ärendedokumentet",Lägg till en ny version av den ovan nämnda filen. Klicka på den kopierade länken till filen,,,,,,,,,,,,,,,,
