Nivå_1,Nivå_2,Nivå_3,GE_KravID,Rubrik,Beskrivning,Prioritet,Status,Acceptanskriterier,ID,Arkiverad
1 - Lösningskrav,12 - Koncern och Bolagsstrukturstöd,,LK-008.c,Avslut av diarium,Det skall vara möjligt att avsluta ett diarium/bolag inom GE-koncernen i systemet för att hindra ytterligare registrering av nya diarieärenden och diariehändelser.,Skall,Överlämnad till förvaltning,"
	En funktion i gränssnitt för att initiera process att avsluta finns
	En tydlig process för att genomföra hela processen att avsluta ett diarium
	Avlutat diarium ska fortfarande presentera ärenden och händelser men inga ytterligare registreringar eller ändringar tillåts i diarium
",49,Nej
1 - Lösningskrav,13 - Användbarhet,,LK-009.f,Obligatoriska fält hindrande,Ej ifyllda tvingande fält bör hindra progress och avslut i skapande och uppdatering.,Bör,Överlämnad till förvaltning,"
	Användaren ska på ett tydligt sätt informeras att obligatoriska fält är saknade
	Saknade fält ska vara tydligt angivna
	Obligatoriska fält ska under ifyllande vara passivt informerande men när spara försök att gå vidare i process sker så ska de vara mer aktivt informerande
",56,Nej
1 - Lösningskrav,13 - Användbarhet,,LK-009.i,Seriell bulkinmatning med ärvd metadata,Lösningen bör erbjuda möjlighet att i serie mata in flera diariehändelser där metadata ärvs från föregående så att inmatning av nya ärenden kan göras effektivt och med konsistent innehåll.,Bör,Överlämnad till förvaltning,"
	En tidigare gjord registrering kan klonas till nya med samma information förifylld
	All information i registerpost kopieras över till nya
	Filer kopieras INTE över till klonad kopia
	Händelses händelselogg ska inte följa med i klonade kopior
	Referenser till andra registerposter ska kopieras med till ny klon
",59,Nej
2 - Verksamhetskrav,18 - Dokumenthantering styrande och formella dokument,,VK-001.c,Permanenta hyperlänkar för delning,Det bör gå att skapa permanenta länkar till filer och registerposter på samtliga hierarkiska nivåer som inte påverkas vid uppdateringar av dokument och filer.,Bör,Överlämnad till förvaltning,"
	Det ska gå att kopiera en länk
	Länken ska fungera och leda till ärende, händelse eller fil
	Även efter uppdatering av ärende eller händelse eller om händelse flyttar till annat ärende eller bolag ska länken fortsätta att fungera
	Länk till fil ska alltid i första hand leda till senast giltiga version av fil
",83,Nej
2 - Verksamhetskrav,19 - Redigering och samarbete i dokument,,VK-002.e,Dokumentstatus,Ett dokument ska sättas i en status av färdigt när registrering sker.,Skall (Tvingande),Överlämnad till förvaltning,"
	Diariehändelse (dokument) av typen intern skall sättas till status ""Registrerat"" när handläggare markerar händelse diarieförd.
	Diariehändelse av typen inkommande skall status sättas till ""Registrerat av handläggare"" när handläggare markerar händelse som diarieförd och ""Registrerat"" när registrator markerar den som klar.
	Diariehändelse av typen utgående skall status sättas till ""Färdig från handläggare"" när handläggare markerar händelse till färdigställd och ""Registrerat"" när registrator markerar den som klar
	Diariehändelse som skapas av registrator/huvudregistrator ska sättas till status ""Registrerat"" direkt vid diarieföring
",88,Nej
2 - Verksamhetskrav,19 - Redigering och samarbete i dokument,,VK-002.f,Återöppna och uppdatera dokument,Ett dokument som satts till status färdigt ska kunna öppnas för redigering som leder till en ny version i en ny diariehändelse.,Skall,Överlämnad till förvaltning,Sammanlänkat krav med kravet VK-011-j som har samma acceptans kriterier.,89,Nej
2 - Verksamhetskrav,21 - Dokument och Mallar,,VK-004.c,Metadata appliceras i filer,Lösningen ska stödja att lägga till metadata som text i filer som laddas upp och konverteras.,Skall,Under testning,"
	Den slutgiltiga konverterade filen i bevarandeformat ska innehålla vald metadata
	Pålagd metadata ska placera på en utpekad plats i filen
	Metadataplacering skall kunna specificeras i X/Y-led samt rotationsorientering per vald metadata
",97,Nej
2 - Verksamhetskrav,21 - Dokument och Mallar,,VK-004.d,Applicering av metadata till anvisade ytor i filer,Mallars utformning bör kunna bereda ytor för metadata från registerpost. Lösningen ska ha stöd för att styra metadata till förutbestämda ytor på dokument.,Skall,Under testning,"
	Metadatafält ska kunna knytas till specifika placeringar i en mall
	Olika mallar ska kunna ha egna placeringar av samma metadatafält
	Metadata ska finnas representerad på den läsbara och utskrivningsbara versionen av dokumentet
",98,Nej
2 - Verksamhetskrav,22 - Metadata,,VK-005.c,Metadata appliceras till utskrift av dokument,Valbar metadata bör kunna läggas till den printbara versionen av dokument,Bör,Under testning,Se krav VK-004.d,101,Nej
2 - Verksamhetskrav,22 - Metadata,,VK-005.d,Metadata i mallars sidhuvud och -fot,Dokument skapade baserat på mallar bör kunna få metadata applicerad i mallformatets t.ex. sidhuvud och sidfot.,Bör,Under testning,Se krav VK.004.d,102,Nej
