ID,Rubrik,Beskrivning,GE_KravID
389,S5 - Registrering av strömavbrott,"Mätsystemet ska (S5) registrera alla strömavbrott (i 1-, 2- eller 3-faser) i en Mätenhet som är längre än 3 minuter.",S5
447,S63 - Uppgradering från HES,Mjukvara i mätare (förutom metrologisk mjukvara) och kommunikationsenhet ska (S63) kunna uppgraderas från HES.,S63
453,S69 - Unikt tillverkningsnummer - kommunikationsmodul,Om Mätenheten består av mätare och en Kommunikationsmodul ska (S69) dessa vara försedda med var sitt unikt tillverkningsnummer.,S69
501,S117 - 50 samtidiga användare,HES i produktionsmiljön ska (S117) vara dimensionerad för minst 50 samtida Användare utan att Mätsystemets prestanda påverkas.,S117
509,S125 - Skapa egna rapporter,Det ska (S125) vara möjligt för Användaren att själv skapa rapporter och definiera innehåll i HES.,S125
601,S217 - Parallella anrop,HES ska (S217) vara utformad för att kunna hantera parallella anrop.,S217
614,S230 - Krypteringsalgoritmer och kryptografiska hash-funktioner,"Krypteringsalgoritmer och kryptografiska hash-funktioner som används inom Lösningen ska (S230) vara säkra enligt Branschpraxis. Redovisa vilka lösningar som bygger på krypteringsteknik, samt vilka standarder dessa bygger på.",S230
616,S232 - UTC tid med NTP synk,"Mätsystemet och kringliggande infrastruktur ska (S232) använda UTC som källa för tid, inkluderat synkning med NTP.",S232
631,S247 - Penetrationstester,"Beställaren ska (S247), med hjälp av oberoende part, kunna genomföra penetrationstester, eller likvärdiga revisioner, på Mätsystemet.",S247
759,B113 - Synkronisering med GE kontrollerad NTP,Mätsystemet och kringliggande infrastruktur som ligger inom GE's nätverk ska (B113) synkroniseras med GE kontrollerad NTP.,B113
