ID,Rubrik,Beskrivning,GE_KravID
385,new: S1 - Lagkrav,"new: Vid tidpunkten för kontraktsskrivande gällande Lagar, Föreskrifter och standarder med avseende på funktion och säkerhet ska (S1) uppfyllas för Mätsystemets alla delar enligt nedanstående punkter 1–13.
1. Ellag SFS 1997:857.
2. Förordningen (SFS 1999:716) om mätning, beräkning och rapportering av överförd el.
3. EIFS 2016:2 – Energimarknadsinspektionens Föreskrifter och allmänna råd om mätning, beräkning och rapportering av överförd el.
4. STAFS 2016:1 – Swedacs Föreskrifter om mätinstrument.
5. STAFS 2016:4 – Swedacs Föreskrifter och allmänna råd om mätare för aktiv elenergi.
6. STAFS 2009:8 – Swedacs Föreskrifter och allmänna råd om mätsystem för mätning av överförd el.
7. STAFS 2009:9 – Swedacs Föreskrifter och allmänna råd om återkommande kontroll av mätare för aktiv elenergi.
8. EU:s MID direktiv 2014/32/EU.
9. Utökat typgodkännande och certifiering av Kategori 1 och 2 mätare enligt metod SPM 1618, test med 12kV stötspänning.
10. Standarder: SS-EN61869-1, SS-EN61869-2, SS-EN50470 och IEC 62056 (DLMS/COSEM suite).
11. EU Förordning 2016/679 av den 27 april 2016 om skydd för fysiska personer med avseende på behandling av personuppgifter och om det fria flödet av sådana uppgifter och om upphävande av direktiv 95/46/EG (allmän dataskyddsförordning).
12. EU-försäkran om överenstämmelse ska finnas för Mätsystemet om detta eller delar därav tillverkas i land utanför EU.
13. Lag (2003:389) om elektronisk kommunikation.",new: S1
391,new: S7 - Strömavbrotts start och stopp,"new: Det ska (S7) vara möjligt att identifiera ett strömavbrotts ""start och stopp"" i Mätsystemet.",new: S7
435,new: S51 - Självdiagnos,new: Mätenheterna ska (S51) innehålla en självdiagnos som detekterar olika typer av felaktigheter.,new: S51
632,new: S248 - Samsyn kring pen-test,new: Beställaren och Leverantören ska (S248) vara informerade och överens om när ett penetrationstest eller revision,new: S248
647,new: B1 - Korrigerade mätvärden,"new: Om Mätenheten korrigerar uppmätta värden för spänning och/eller ström vid beräkning av energiförbrukning, ska (B1) dessa värden också vara de som används i Mätsystemet.",new: B1
658,new: B12 - Varmgång,new: Mätenheten ska (B12) ha möjlighet att detektera varmgång i anslutningar.,new: B12
687,new: B41 - kumulativa räkneverket återges på Mätenhetens display,"new: Det kumulativa räkneverket ska (B41) kunna återges på Mätenhetens display enligt minst ett av följande två alternativ:
1. Både heltal och decimaler visas i displayen samtidigt
2. Endast heltal visas i displayen och genom handgrepp möjliggöra att decimalerna visas i displayen.",new: B41
712,new: B66 - Rapport - Rubrik som motsvarar attributet,new: För alla attribut som väljs att ingå i en rapport ska (LB66) det finnas en rubrik som motsvarar attributet. T.ex. en rubrik ”adress” när det är adressdata som ingår i rapporten,new: B66
725,new: B79 - Historiska insamlingsjobb,new: Det ska (B79) finnas funktionalitet i HES för att titta på historiska insamlingsjobb under en vald tidsperiod.,new: B79
1012,new: S558 - Utbildning inför UAT,new: Leverantören ska (S558) genomföra nödvändig utbildning samt överlämna relevant dokumentation enligt punkt 5 innan Beställarens UAT påbörjas.,new: S558
