ID,GE_KravID,Rubrik,Beskrivning
1,,Virtuella och fysiska servrar,Verifiera att dokumentationen beskriver hur det går att installera applikationen både i en fysisk och i en virtuell miljö.
2,,Redundans i teorin,Verifiera att dokumentationen från Kamstrup beskriver hur och för vilka komponenter redundans appliceras. Verifiera att dokumentationen från Tieto beskriver hur och för vilka komponenter redundans appliceras i enlighet med Kamstrups beskrivning.
3,,Redundans i praktiken,"För alla komponenter som har redundans verifiera att dokumentationen beskriver redundant lösning för samtliga ingående servers inom HES, inklusive SQL databaser. Begär ett ""Fail-over"" test från Tieto i flera steg som verifierar samtliga ""nivåer"" av redundans inom HES."
4,,Servrar,Verifiera att dokumentation som leverantören presenterar inför installation stämmer överens med de servrar/operativ som Göteborg Energi/Tieto supporterar.
5,,Köras som tjänst,Verifiera att information om tjänster och vilka servrar de finns på är beskrivet i systemdokumentationen. Hör med Tieto att de inte fått problem med Licenser eller annat praktiskt vid installationerna inför UAT.
6,,Lista licenser och program - teori,Verifiera att leverantören i dokumentet Customer PlatformSpecifikation GBE PRD listat samtliga licenser som inkluderas i systemleveransen.
7,,Beställarens licenser - förvaltning,Verifiera att samtliga licenser som Göteborg Energi står för finns listade i Snow och hanteras i applikationen.
8,,Databashanterare med versionsnummer,Verifiera att plattformspecifikationen innehåller information om databashanterare och versionsnummer.
9,,Återläsa data,FAT: Kamstrup visar rekommendationer. UAT: Med skarp data beställs återläsning i testmiljön på ett givet tidsintervall från Tieto. PROD: Med skarp data beställs återläsning i produktionsmiljö på ett givet tidsintervall från Tieto.
10,,Databashotell,Verifiera att systemdokumentationen beskriver vilka databaser och databasversioner som används.
11,,Beställarens licenser - teori,Verifiera att leverantören i dokumentet Customer PlatformSpecifikation GBE PRD listat samtliga licenser som Göteborg Energi ska stå för.
13,,DLMS/ COSEM Suite 1,Granska dokumentation som beskriver hur DLMS/ COSEM Suite 1 är implementerat i lösningen.
14,,Behörighet till subjekt,Verifiera att samtliga loggposter är knutet till ett subjekt. Verifiera att alla loggposter inte är kopplade till en person.
15,,Dölja lösenord,Verifiera att lösenord inte lagras i klartext.
16,,Krypterad inloggning,Verifiera att inloggningen sker krypterat I CM. Verifiera att inloggningen sker krypterat I Vision. Verifiera att inloggningen sker krypterat I Vision Audit. Verifiera att inloggningen sker krypterat I Omnia Flex.
17,,Behörighetsstyrning för verktyg,"Verifiera att Omnia Flex använder behörighetsstyrning. Verifiera  KMS använder behörighetsstyrning. Verifiera  Meter Tool (mätehet) använder behörighetsstyrning. Verifiera  CM använder behörighetsstyrning. Verifiera  Samtliga Visionmoduler använder behörighetsstyrning. Verifiera att åtkomst till systemet sker via tvåfaktors autentisering - Ivanti Connect Secure och behörighetsstyrning i Active Directory. Verifiera om Configuration Tool som Avance använder för att anpassa systemet behörighetsmässigt kan användas på ett felaktigt sätt
(Från leverantörens svar på kravet: Programvaror som kan kringgå säkerhetsåtgärder t.ex. konfigurationsprogram kan enbart köras på Collection Managers applikationsservrar och skyddas genom begränsad inloggningsaccess till applikationsservrarna.)."
18,,Kryptera kommunikation,Verifiera att det inte förekommer någon okrypterad kommunikation.
19,,Krypteringsalgoritmer och kryptografiska hash-funktioner,"Verifiera genom granskning av dokumentation vilka lösningar som bygger på krypteringsteknik,."
20,,Krypteringsnycklar,Verifiera att lösningsbeskrivning detaljerar hur krypteringsnycklar hanteras.
21,,Säkerhetslogg,Verifiera att all relevant information loggas i säkerhetslogg. Verifiera att all relevant information loggas i säkerhetslogg. Verifiera att all relevant information loggas i säkerhetslogg. Verifiera att all relevant information loggas i säkerhetslogg. Verifiera att all relevant information loggas i säkerhetslogg. Verifiera att all relevant information loggas i säkerhetslogg. Verifiera att all relevant information loggas i säkerhetslogg. Verifiera att all relevant information loggas i säkerhetslogg. Verifiera att all relevant information loggas i säkerhetslogg.
21,,Säkerhetslogg,Verifiera att all relevant information loggas i säkerhetslogg. Verifiera att all relevant information loggas i säkerhetslogg. Verifiera att all relevant information loggas i säkerhetslogg. Verifiera att all relevant information loggas i säkerhetslogg. Verifiera att all relevant information loggas i säkerhetslogg. Verifiera att all relevant information loggas i säkerhetslogg. Verifiera att all relevant information loggas i säkerhetslogg. Verifiera att all relevant information loggas i säkerhetslogg. Verifiera att all relevant information loggas i säkerhetslogg.
21,,Säkerhetslogg,Verifiera att all relevant information loggas i säkerhetslogg. Verifiera att all relevant information loggas i säkerhetslogg. Verifiera att all relevant information loggas i säkerhetslogg. Verifiera att all relevant information loggas i säkerhetslogg. Verifiera att all relevant information loggas i säkerhetslogg. Verifiera att all relevant information loggas i säkerhetslogg. Verifiera att all relevant information loggas i säkerhetslogg. Verifiera att all relevant information loggas i säkerhetslogg. Verifiera att all relevant information loggas i säkerhetslogg.
21,,Säkerhetslogg,Verifiera att all relevant information loggas i säkerhetslogg. Verifiera att all relevant information loggas i säkerhetslogg. Verifiera att all relevant information loggas i säkerhetslogg. Verifiera att all relevant information loggas i säkerhetslogg. Verifiera att all relevant information loggas i säkerhetslogg. Verifiera att all relevant information loggas i säkerhetslogg. Verifiera att all relevant information loggas i säkerhetslogg. Verifiera att all relevant information loggas i säkerhetslogg. Verifiera att all relevant information loggas i säkerhetslogg.
22,,Innehåll i säkerhetslogg,Säkerhetsloggen innehåller all autentisering och försök till autentisering.
23,,Logga datum och systemtid,Verifiera att alla poster i loggen innehåller datum och systemtid.
24,,Skydd av mätare,Verifiera att mätaren är skyddad mot intrång. Verifiera att mätaren är skyddad mot manipulering. Verifiera att mätaren är skyddad mot exekvering av skadlig kod.
25,,Versionshantering av webservice-gränssnitt,Verifiera att föregående version av webservice-gränssnitt går att läsa tillbaka och är kompatibelt med den nya versionen eller föregående version av ACM.
26,,Synkronisering med GE kontrollerad NTP,Ställ in fel tid i mätare. Synka mätare med systemet. Kontrollera att server web01 har inställning för att synkronisera tid med tidsserver.
26,,Synkronisering med GE kontrollerad NTP,Ställ in fel tid i mätare. Synka mätare med systemet. Kontrollera att server web01 har inställning för att synkronisera tid med tidsserver.
27,,Storlek på händelselistan,
28,,Händelselistan,
29,,Till och frånkoppling och status av brytare från annat GE system,Verifiera att tillkoppling inte är möjligt genom integration från annat system. Verifiera att frånkoppling inte är möjligt genom integration från annat system. Verifiera att status på brytare är möjlig att se genom integration.
29,,Till och frånkoppling och status av brytare från annat GE system,Verifiera att tillkoppling inte är möjligt genom integration från annat system. Verifiera att frånkoppling inte är möjligt genom integration från annat system. Verifiera att status på brytare är möjlig att se genom integration.
30,,Testmiljö,
31,,Visa version,
32,,Skicka samma info igen,Ta emot samma info från fil. Ta emot samma info från mätare.
33,,Styra tid för utloggning,Vänta 45 minuter.
34,,Konfigurationsförändring för att ändra info som integreras,Lägg till den nya parametern i exporten.
35,,Spårbara mätenheter,Kamstrup demonstrerar hur komponenter kan spåras till batch och tidpunkt för tillverkning.
36,,Spårbar kommunikationsutrustione,Kamstrup demonstrerar hur Kommunikationsutrustningar är spårbara och kan knytas minst till tillverkningsbatch och tidpunkt för tillverkning.
37,,Nytillverkat,Vi väljer att inte verifiera detta i detalj. Om problem uppstår där vi noterar att äldre komponenter används kommer det att hanteras som ett avtalsbrott.
38,,Registrering av strömavbrott - Kat1,Verifiera att strömavbrott längre än 3 minuter  registreras och lagras i mätare Kat1 1-fas. Verifiera att strömavbrott längre än 3 minuter  registreras och lagras i mätare Kat1 3-fas. Verifiera att strömavbrott längre än 10 sekunder  registreras och lagras i mätare Kat1 1-fas. Verifiera att strömavbrott längre än 10 sekunder  registreras och lagras i mätare Kat1 3-fas.
38,,Registrering av strömavbrott - Kat1,Verifiera att strömavbrott längre än 3 minuter  registreras och lagras i mätare Kat1 1-fas. Verifiera att strömavbrott längre än 3 minuter  registreras och lagras i mätare Kat1 3-fas. Verifiera att strömavbrott längre än 10 sekunder  registreras och lagras i mätare Kat1 1-fas. Verifiera att strömavbrott längre än 10 sekunder  registreras och lagras i mätare Kat1 3-fas.
39,,Registrering av strömavbrott - Kat2,Verifiera att strömavbrott längre än 3 minuter  registreras och lagras i mätare Kat2. Verifiera att strömavbrott längre än 10 sekunder  registreras och lagras i mätare Kat2.
39,,Registrering av strömavbrott - Kat2,Verifiera att strömavbrott längre än 3 minuter  registreras och lagras i mätare Kat2. Verifiera att strömavbrott längre än 10 sekunder  registreras och lagras i mätare Kat2.
40,,Registrering av strömavbrott - Kat1 HES,Verifiera att strömavbrott längre än 3 minuter  registreras och lagras i HES för Kat1 1-fas. Verifiera att strömavbrott längre än 3 minuter  registreras och lagras i HES Kat1 3-fas. Verifiera att strömavbrott längre än 10 sekunder  registreras och lagras i HES Kat1 1-fas. Verifiera att strömavbrott längre än 10 sekunder  registreras och lagras i HES Kat1 3-fas.
40,,Registrering av strömavbrott - Kat1 HES,Verifiera att strömavbrott längre än 3 minuter  registreras och lagras i HES för Kat1 1-fas. Verifiera att strömavbrott längre än 3 minuter  registreras och lagras i HES Kat1 3-fas. Verifiera att strömavbrott längre än 10 sekunder  registreras och lagras i HES Kat1 1-fas. Verifiera att strömavbrott längre än 10 sekunder  registreras och lagras i HES Kat1 3-fas.
41,,Registrering av strömavbrott - Kat2 HES,Verifiera att strömavbrott längre än 3 minuter  registreras och lagras i HES Kat2. Verifiera att strömavbrott längre än 10 sekunder  registreras och lagras i HES Kat2.
41,,Registrering av strömavbrott - Kat2 HES,Verifiera att strömavbrott längre än 3 minuter  registreras och lagras i HES Kat2. Verifiera att strömavbrott längre än 10 sekunder  registreras och lagras i HES Kat2.
42,,Mätenhetens strålningsnivå,RISE genomför mätningar.
43,,Mätenhets funktion efter bortfall av faser på Kat1,Ta bort spänning på två av tre faser.
44,,Mätenhets funktion efter bortfall av faser på Kat2,Ta bort spänning på två av tre faser.
45,,Mätenhetens gränssnitt  Kat1 1-fas,Verifiera att det i mätarens display går att se spänning. Verifiera att det i mätarens display går att se ström. Verifiera att det i mätarens display går att se effekt. Verifiera att det i mätarens display går att se effektriktning.
46,,Mätenhetens gränssnitt  Kat1 3-fas,Verifiera att det i mätarens display går att se spänning. Verifiera att det i mätarens display går att se ström. Verifiera att det i mätarens display går att se effekt. Verifiera att det i mätarens display går att se effektriktning / fas. Verifiera att det i mätarens display går att se fasernas ordningsföljd.
47,,Mätenhetens gränssnitt  Kat2,Verifiera att det i mätarens display går att se spänning. Verifiera att det i mätarens display går att se ström. Verifiera att det i mätarens display går att se effekt. Verifiera att det i mätarens display går att se effektriktning / fas. Verifiera att det i mätarens display går att se fasernas ordningsföljd.
48,,automatisk uppstart efter strömavbrott Kat1 - 1-fas,Verifiera att efter strömavbrott startar mätaren upp automatiskt. Använd Omnipower tool eller liknande för att kontrollera mätarens konfiguration.
49,,Skalning av miljö,Mät prestanda under normal rapporteringsdrift. Öka CPU&RAM i kluster. Mät prestanda.
50,,50 samtidiga användare,Kör operationer med en inloggad användare. Exempelvis sökningar och exporter. Mät responstider i webbgränssnittet. Kör samma operationer med 50 samtidiga användare.  Mät responstider i webbgränssnittet.
50,,50 samtidiga användare,Kör operationer med en inloggad användare. Exempelvis sökningar och exporter. Mät responstider i webbgränssnittet. Kör samma operationer med 50 samtidiga användare.  Mät responstider i webbgränssnittet.
51,,Startas automatiskt,Starta om systemet (alla applikationsservrar).
52,,Säkerhetskopiering under drift,Trigga säkerhetskopiering.
53,,Fjärruppkoppling,Anslut till GEs nätverk genom VPN tjänst. Gå till HES URL.
54,,HES från beställarens IT-arbetsplats,Anslut till HES från interna GE nätverket med GEs standard-klient.
55,,Stödja marknadsledande webbläsare,Anslut till HES via Chrome. Anslut till HES via Edge.
56,,Webserviceanrop,Kör export av data.
57,,Utbyte av data via köhanterare,Lägg upp 3-5 exporter i kön.
58,,Integrationer via filer,Lägg importfilen på importmappen.
59,,Händelsedrivna integrationer,Händelsen inträffar.
60,,Loggar för integrationer,Visa integrationsloggar i Vision Audit.
61,,Återsända information,Trigga export från HES.
62,,Tidavvikelse max 7s,Sätt tidsinställningen i en av mätarna att vara mer än 7 sek senare än övriga mätare. Trigga synk mot systemet.
63,,Livslängd Kat1,En Mätenhet ska (S28) ha en förväntad livslängd som är 15 år räknat från tidpunkten då den levererats till GE.
64,,inget behov av batteribyte,Mätaren innehåller inget batteri. Godkänns mot avtal.
66,,Inmating och uttag - aktiv och reaktiv / 15 min (Mätartest),Verifiera med Kamstrups verktyg för lokal konfiguration med optiskt öga att värden för intag av aktiv och reaktiv energi lagras i mätaren. Verifiera med Kamstrups verktyg för lokal konfiguration med optiskt öga att värden för uttag av aktiv och reaktiv energi lagras i mätaren.
67,,Inmating och uttag - aktiv och reaktiv / 15 min (HES),Verifiera från HES att värden för intag av aktiv och reaktiv energi lagras i mätaren. Verifiera från HES att värden för uttag av aktiv och reaktiv energi lagras i mätaren.
69,,Konfigurera värden för händelser från HES,Verifiera att det går att byta profil i HES (tex från vanlig mätare till solcellsmätare).
70,,Innehåll för händelse,I HES verifiera att varje händelse har ett händelse ID. I HES verifiera att det finns ett löpnummer för varje händelse. I HES verifiera att det finns en tidsstämpel  för varje händelse. I HES verifiera att det finns ett tillverkningsnummer för mätenheten på varje händelse.
