ID,Rubrik,Info & Förberedelser,Kravområde,Länkade krav,Beskrivning
1,Konvertering och Filformat hanterade i Diarie,"Intention: Verifiera att kravställda filformat hanteras av lösningen gällande bifoga, öppna, konvertera (i vissa fall) och arkivera samt att det sker mer viss automatik.

Förutsättningar: 

Beroenden: Alla roller ska kunna bifoga filer till ärenden de är handläggare för",Funktioner,5 - Filformatsstöd| 6 - Originalfiler| 17 - Automatisk filkonvertering| 18 - Filformat DWG & DXF,"
."
2,Förlustfri konvertering av filer,"Intention: Att verifiera att filer med olika format, storlek och innehåll kan konverteras till bevarandeformat (PDF-A) utan att information förvanskas eller förloras.

Förutsättningar: Täck in förutom de olika filformaten även storlek på fil, antal sidor, dokumentformat (A4, Letter, Portrait/Lansdcape...), olika typer av innehåll (bilder i olika storlek och upplösning, tabeller, sidfot/sidhuvud, pagenering, ....)

Beroenden: Endast godkända filformat med Excel undantaget",Systemkrav,9 - Konvertering för långtidslagring| 10 - Förlustfri konvertering,"
."
3,"Tidsatta notifieringar, Bevakning och sista svarsdatum","Intention: Verifiera att funktion för bevakning och sista svarsdatum finns och fungerar

Förutsättningar: Notifiering eller annan metod som ska användas för att signalera att datum infallit måste vara uppsatt. Det kan vara flera metoder men här verifieras endast att det går att sätta bevakning och att något händer när det infaller. Registrerat ärende och dokumentkort (händelse)

Beroenden:",Funktioner,13 - Bevakningsdatum| 14 - Sista svarsdatum| 31 - Tidssatta notifieringar| 32 - Notifieringar vid inaktivitet,"
."
4,Flytt av Diariehändelser,"Intention: Att verifiera att det går att flytta händelser mellan ärenden. Både mellan ärenden inom samma organisation samt mellan organisationer.

Förutsättningar: Roll för användare och access för roll till olika organisationer och ärenden. Ärenden och händelser är skapade. Roll=huvudregistrator

Beroenden:",Affärsprocesser,15 - Flytt av diariehändelser| 16 - Rättigheter att flytta händelser,"
."
5,Växla roll,"Intention: Verifiera att funktionen för att växla roll finns och fungerar

Förutsättningar: Inloggad användare ska ha fler än en roll kopplad. Roll=huvudregistrator

Beroenden:",Funktioner,22 - Multipla roller per användare,"
."
6,Obligatoriska fält,"Intention: Verifiera att obligatoriska fält tvingar användare att fylla i samt hindrar från att spara/gå vidare i process. Även att administrera vilka fält som är obligatoriska och att det går att ändra utan att det påverkar befintliga ärenden och händelser tills dess att de redigeras och ska sparas om.

Förutsättningar: Ett registrerat ärende

Beroenden:",Funktioner,55 - Oblligatoriska fält markerade| 56 - Obligatoriska fält hindrande| 177 - Fält ska kunna vara tvingande| 178 - Tvingande fält,"
."
7,Fältutformning för klassning,"Intention: Verifiera att funktion kring Konfidentialitetsklassning och Sekretessmarkering fungerar. Att klassning och markering får rätt effekt samt att processen och GUI är utformad rätt.

Förutsättningar: 

Beroenden:",Lagkrav,114 - Fältutforming för klassning| 115 - Paragrafnotering,"
."
8,Sökning,"Intention: Verifiera sökfunktion med fokus på vilka data som går att söka på, att kombinerade söktermer med flera ord och även sammanhållande strängar av ord.

Förutsättningar: Användare med olika roller, olika användare med olika behörighet, testdata med flertalet olika ärenden och händelser samt filer med olika format och innehåll. Ett registrerat ärende, dokument (händelse) samt fil med namn 'Drabantgatan'' ' Remiss'. Dokumentkortet (händelsen) samt fil är belagd med sekretess

Beroenden:",Funktioner,135 - Söktermer bestående av flera ord| 136 - Sökbar metadata| 137 - Riktad sök| 140 - Sökning över samtliga status| 152 - Sökresultat tar hänsyn till behörighet| 156 - Spara sökparametrar| 157 - Sökning i avslutade diarier| 158 - Sök på aktivitetsdatum,"
."
9,Skicka e-post från diarie,"Intention: Verifiera att det inifrån Diarie går att initiera och skicka e-post med innehåll bifogat samt att det diarieförs.

Förutsättningar: Integration mot e-postserver, testklient har e-postklient, inloggad användare har en e-postadress och att det finns e-postadresser att skicka till

Beroenden:",Funktioner,146 - Skicka fil som bilaga| 269 - Hyperlänkad diariepost i mail| 270 - Utgående mail från Diarie| 271 - Bifoga bilagor,"
."
10,Länkar in till Diarie,"Intention: Verifiera att URL:er till olika diarieobjekt så som registerposter och filer är statiska över tid och uppdateringar i poster. 

Förutsättningar: Det finns ärenden och händelser med filer med olika nivå av behörigheter

Beroenden:",Funktioner,83 - Permanenta hyperlänkar för delning,"
."
