ID,GE_KravID,Rubrik,Beskrivning
21,S234,Säkerhetslogg,Verifiera att all relevant information loggas i säkerhetslogg. Verifiera att all relevant information loggas i säkerhetslogg. Verifiera att all relevant information loggas i säkerhetslogg. Verifiera att all relevant information loggas i säkerhetslogg. Verifiera att all relevant information loggas i säkerhetslogg. Verifiera att all relevant information loggas i säkerhetslogg. Verifiera att all relevant information loggas i säkerhetslogg. Verifiera att all relevant information loggas i säkerhetslogg. Verifiera att all relevant information loggas i säkerhetslogg.
21,S237,Säkerhetslogg,Verifiera att all relevant information loggas i säkerhetslogg. Verifiera att all relevant information loggas i säkerhetslogg. Verifiera att all relevant information loggas i säkerhetslogg. Verifiera att all relevant information loggas i säkerhetslogg. Verifiera att all relevant information loggas i säkerhetslogg. Verifiera att all relevant information loggas i säkerhetslogg. Verifiera att all relevant information loggas i säkerhetslogg. Verifiera att all relevant information loggas i säkerhetslogg. Verifiera att all relevant information loggas i säkerhetslogg.
26,S232,Synkronisering med GE kontrollerad NTP,Ställ in fel tid i mätare. Synka mätare med systemet. Kontrollera att server web01 har inställning för att synkronisera tid med tidsserver.
26,B113,Synkronisering med GE kontrollerad NTP,Ställ in fel tid i mätare. Synka mätare med systemet. Kontrollera att server web01 har inställning för att synkronisera tid med tidsserver.
29,S171,Till och frånkoppling och status av brytare från annat GE system,Verifiera att tillkoppling inte är möjligt genom integration från annat system. Verifiera att frånkoppling inte är möjligt genom integration från annat system. Verifiera att status på brytare är möjlig att se genom integration.
29,S172,Till och frånkoppling och status av brytare från annat GE system,Verifiera att tillkoppling inte är möjligt genom integration från annat system. Verifiera att frånkoppling inte är möjligt genom integration från annat system. Verifiera att status på brytare är möjlig att se genom integration.
50,S117,50 samtidiga användare,Kör operationer med en inloggad användare. Exempelvis sökningar och exporter. Mät responstider i webbgränssnittet. Kör samma operationer med 50 samtidiga användare.  Mät responstider i webbgränssnittet.
50,S217,50 samtidiga användare,Kör operationer med en inloggad användare. Exempelvis sökningar och exporter. Mät responstider i webbgränssnittet. Kör samma operationer med 50 samtidiga användare.  Mät responstider i webbgränssnittet.
81,S539,Ta fram testplan,Leverantören ansvarar för att vid projektstart ta fram en detaljerad testplan som granskas av Beställaren. Utifrån synpunkter som framkommer vid Beställarens granskning ska (S539) Leverantören komplettera testplanen.
81,S540,Ta fram testplan,Leverantören ansvarar för att vid projektstart ta fram en detaljerad testplan som granskas av Beställaren. Utifrån synpunkter som framkommer vid Beställarens granskning ska (S539) Leverantören komplettera testplanen.
210,S131,Dynamiska fält,Verifiera att fälten i Fälten i HES är dynamiska och anpassade för den information som kommer att visas upp för Användaren.
210,S130,Dynamiska fält,Verifiera att fälten i Fälten i HES är dynamiska och anpassade för den information som kommer att visas upp för Användaren.
273,S163,Kräv ytterligare bekräftelse,"Verifiera att kommandon, som Användaren initierar i HES och som kan få allvarliga konsekvenser vid felaktig hantering (radering av lagrad mäta- och strukturdata och från- och tillkoppling av ström) kräver ytterligare bekräftelse innan de utförs. Verifiera att kommandon som inte får alvarliga konsekvenser inte kräver ytterligare bekräftelse innan de utförs."
273,B89,Kräv ytterligare bekräftelse,"Verifiera att kommandon, som Användaren initierar i HES och som kan få allvarliga konsekvenser vid felaktig hantering (radering av lagrad mäta- och strukturdata och från- och tillkoppling av ström) kräver ytterligare bekräftelse innan de utförs. Verifiera att kommandon som inte får alvarliga konsekvenser inte kräver ytterligare bekräftelse innan de utförs."
