ID,Rubrik,Beskrivning,GE_KravID
416,S32 - Förbrukninsvärden upplösning 1Wh,De av Mätenheten registrerade Förbrukningsvärden ska (S32) minst ha upplösningen 1 Wh.,S32
419,S35 - Händelser som registreras,"Mätsystemet ska (S35) registrera och lagra information när följande Händelser inträffar:
1. Tid i mätenhetens klocka förändrats utifrån det konfigurerade tidsintervallet
2. Om tiden i Mätenhetens klocka skiljer sig från tiden i HES
3. Avvikelse vid självdiagnos
4. Till- eller frånkoppling av kundanläggning via Mätenhetens brytare (gäller endast Kategori 1)
5. Till- eller frånkoppling av kundanläggning via Mätenhetens brytare med kommando från HES (gäller endast Kategori 1)
6. Misslyckad till- eller frånkoppling via Mätenhetens brytare (gäller endast Kategori 1)
7. Strömavbrott i en eller flera faser
8. Spänning saknas på fas
9. Långvarig underspänning
10. Långvarig överspänning
11. Kortvarig överspänning
12. Kortvarig underspänning
13. Obalans spänning mellan faser (gäller ej enfasmätare)
14. Felaktig effektriktning
15. Ström utan spänning
B.2.1 KRAVSPECIFIKATION
TEKNISK LÖSNING
8 (32)
Upphandlingsreferens
19-0019
16. THD i spänning överskrider inställt gränsvärde
17. THD i ström överskrider inställt gränsvärde
18. Bortfall av neutralledare
19. Fel fasföljd (gäller ej enfasmätare)
20. Magnetisk åverkan
21. Öppen lucka för Kommunikationsmodul
22. Öppen lucka för anslutningar",S35
502,S118- 50% fler mätpunkter och längre lagringstid,"Det ska (S118) vara möjligt att bygga ut HES för 50 % fler Mätpunkter och längre lagringstider genom enkla åtgärder som inte kräver programutveckling, utan endast t.ex. licensändring, extra diskutrymme, nya filer för databasen.",S118
504,S120 - PQ-värden exporteras inom 30 sek,PQ-värdena (15-minutersvärden) ska (S120) kunna exporteras från HES via integrationer till annat system senast 30 sekunder efter registrering i HES.,S120
505,S121 - PQ-händelser exporteras inom 1 min,PQ-händelser ska (S121) kunna exporteras från HES via integrationer till annat system senast 1 minut efter registrering i HES.,S121
506,S122 - Avbrottshändelser exporteras inom 10 sek,Avbrottshändelse ska (S122) kunna exporteras från HES via integrationer till annat system senast 10 sekunder efter registrering i HES.,S122
507,S123 - Kommunikationsmetadata exporteras inom 10 sek,Kommunikationsmetadata (15-minutersvärden) ska (S123) kunna exporteras från HES via integrationer till annat system senast 10 sekunder efter registrering i HES.,S123
528,S144 - Händelselistan,Händelselistan ska (S144) minst kunna omfatta samtliga Händelser 13 månader tillbaka i tiden. Händelselistans storlek bör (B76) endast begränsas av tillgänglig lagringsyta.,S144
541,S157 - Synkronisera tiden för enskild mätare,I HES ska (S157) det vara möjligt att manuellt synkronisera tiden för enskilda Mätenheter.,S157
542,S158 - Manuell synkroniserings konsekvenser,"Manuell synkronisering av tid på enskild Mätenhet ska (S158) inte ge konsekvenser beträffande t.ex. lagring, presentation, händelse- och larmhantering i HES.",S158
